"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz","sigma_true_sq","sigma_fit_sq","absorbed_var","gamma_var_term","cross_term","predicted_absorbed","residual_var","residual_pct"
0.7,0.45,1.73128571111785,0.649068141303102,0.139564639752864,37.5358545372376,0.286752220045321,0.133342095473208,1.58454883703761,2.99735021352083,1.41280137648322,0.2025,0.793036842410381,0.995536842410381,0.417264534072841,26.333333774233
0.8,0.45,1.76128317650444,0.645853748402872,0.136350246852634,39.9188968100424,0.304163271082483,0.143352544430049,1.58454883703761,3.10211842783758,1.51756959079997,0.2025,0.906327819897579,1.10882781989758,0.408741770902395,25.7954669082057
0,0.5,1.43998926044655,0.580946721706942,0.0714432201567043,14.3948408908689,0.237367213909297,0.121900538308019,1.58454883703761,2.0735690702014,0.489020233163792,0.25,0,0.25,0.239020233163792,15.0844346085698
0.1,0.5,1.46160410725237,0.576844245980178,0.0673407444299405,16.1119557535631,0.234325618868672,0.117297235738966,1.58454883703761,2.13628656633701,0.551737729299398,0.25,0.125878863874664,0.375878863874664,0.175858865424734,11.0983556526734
0.2,0.5,1.53482938720305,0.59575044803967,0.0862469464894317,21.9290784774848,0.250428678838723,0.114295921976966,1.58454883703761,2.35570124782209,0.771152410784475,0.25,0.251757727749327,0.501757727749327,0.269394683035148,17.0013493265877
0.3,0.5,1.56480466088061,0.592253415208565,0.0827499136583275,24.3103578086527,0.268985752044125,0.124035109216452,1.58454883703761,2.44861362671369,0.86406478967608,0.25,0.377636591623991,0.627636591623991,0.236428198052089,14.920852707456
0.4,0.5,1.61611511693735,0.612960096523191,0.103456594972953,28.3865350537719,0.269305435432602,0.142722872004683,1.58454883703761,2.61182807119342,1.02727923415581,0.25,0.503515455498655,0.753515455498655,0.273763778657155,17.2770805328392
0.5,0.5,1.6630679490689,0.625618566710156,0.116115065159918,32.1165363173919,0.277931835747461,0.127806394292278,1.58454883703761,2.76579500322025,1.18124616618264,0.25,0.629394319373318,0.879394319373318,0.301851846809322,19.0497029661546
0.6,0.5,1.74795101401852,0.643525544476291,0.134022042926054,38.8597704344503,0.286879187945225,0.147782598650663,1.58454883703761,3.05533274740838,1.47078391037077,0.25,0.755273183247982,1.00527318324798,0.465510727122784,29.3781243115913
0.7,0.5,1.74635411596181,0.660967034951612,0.151463533401374,38.7329105306062,0.291005932857256,0.152122086786038,1.58454883703761,3.04975269833675,1.46520386129913,0.25,0.881152047122646,1.13115204712265,0.334051814176489,21.0818250828428
0.8,0.5,1.76065713060441,0.639489639116194,0.129986137565956,39.8691628133439,0.295981879589189,0.153254992850106,1.58454883703761,3.09991353154815,1.51536469451054,0.25,1.00703091099731,1.25703091099731,0.258333783513229,16.3033020803699
0,0.55,1.45490646270523,0.561892257603491,0.0523887560532532,15.5798851309828,0.23740272260083,0.10869348108376,1.58454883703761,2.11675281522143,0.532203978183819,0.3025,0,0.3025,0.229703978183819,14.4964909136699
0.1,0.55,1.52221005748126,0.579797757848839,0.0702942562986008,20.9265805732808,0.244483071855497,0.123499575713556,1.58454883703761,2.31712345909709,0.732574622059479,0.3025,0.13846675026213,0.44096675026213,0.291607871797349,18.4032113735619
0.2,0.55,1.5305391571693,0.601493692321411,0.0919901907711735,21.5882563647256,0.249724681328656,0.130538691346733,1.58454883703761,2.34255011162851,0.758001274590902,0.3025,0.27693350052426,0.57943350052426,0.178567774066642,11.2693133775847
0.3,0.55,1.5467088624233,0.58252721555618,0.073023714005942,22.8728012641852,0.255998884090798,0.133082465195239,1.58454883703761,2.39230830509877,0.807759468061161,0.3025,0.41540025078639,0.71790025078639,0.0898592172747708,5.67096546186401
0.4,0.55,1.67051892647563,0.627472380555892,0.117968879005654,32.708452797838,0.282230003149684,0.134416002859917,1.58454883703761,2.79063348371329,1.20608464667568,0.3025,0.55386700104852,0.85636700104852,0.349717645627155,22.0704870340865
0.5,0.55,1.72258211783271,0.638574856190391,0.129071354640154,36.844428429849,0.283608293534713,0.147400442029448,1.58454883703761,2.96728915267703,1.38274031563942,0.3025,0.69233375131065,0.99483375131065,0.387906564328772,24.4805685543893
0.6,0.55,1.77952567523498,0.66624023759639,0.156736736046153,41.3681074375467,0.302822261321378,0.141575386687396,1.58454883703761,3.1667116288205,1.58216279178289,0.3025,0.83080050157278,1.13330050157278,0.448862290210109,28.3274506735481
0.7,0.55,1.81285958743572,0.665885641919807,0.156382140369569,44.0162018971481,0.309100731213545,0.153775727744533,1.58454883703761,3.2864598837576,1.70191104671999,0.3025,0.96926725183491,1.27176725183491,0.430143794885082,27.146136794954
0.8,0.55,1.8704799623959,0.693401130069853,0.183897628519615,48.5936482758786,0.319764804037721,0.161733194297961,1.58454883703761,3.49869528972456,1.91414645268695,0.3025,1.10773400209704,1.41023400209704,0.503912450589908,31.8016358228501
